CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060000,01,77501497,0001,RX,P,361107700075,00001638,"NE174       ","        ","HARD-BA ",M,-12.00,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794763,31,04,20221230,0
AA30,060000,01,77501497,0002,RX,P,361107700075,00001638,"NE174       ","        ","HARD-BA ",M,-12.50,- 5.00,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794763,31,04,20221230,0
AA30,060000,01,77501498,0001,RX,P,361107700075,00001638,"NE174       ","        ","HARD-BA ",M,-12.00,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794763,32,01,20221230,0
AA30,060000,01,77501498,0002,RX,P,361107700075,00001638,"NE174       ","        ","HARD-BA ",M,-12.50,- 5.00,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794763,32,01,20221230,0
AA30,060000,01,77501500,0001,RX,R,360587306870,00001638,"BSRM16S5G   ","        ","HARD-BA ",M,- 6.00,- 2.00,180,1.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794770,31,04,20221230,0
AA30,060000,01,77501500,0002,RX,L,360587306870,00001638,"BSRM16S5G   ","        ","HARD-BA ",M,- 6.50,- 2.00,180,1.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794770,31,04,20221230,0
AA30,060000,01,77501501,0001,RX,R,360587306870,00001638,"BSRM16S5G   ","        ","HARD-BA ",M,- 6.00,- 2.00,180,1.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794770,32,01,20221230,0
AA30,060000,01,77501501,0002,RX,L,360587306870,00001638,"BSRM16S5G   ","        ","HARD-BA ",M,- 6.50,- 2.00,180,1.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794770,32,01,20221230,0
AA30,060000,01,77501503,0001,RX,P,361107600075,00001638,"NL174       ","        ","HARD-BA ",M,- 8.50,- 0.50," 10","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793860,31,04,20221230,0
AA30,060000,01,77501503,0002,RX,P,361107600075,00001638,"NL174       ","        ","HARD-BA ",M,-10.00,- 1.25,170,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793860,31,04,20221230,0
