CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060003,04,77502269,0001,RX,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 3.50,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796493,31,04,20221230,0
AA30,060003,04,77502269,0002,RX,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 3.25,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796493,31,04,20221230,0
AA30,060003,04,77502270,0001,ST,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 3.50,"      ","   ","    ",75,"PNL16MUV75SHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796493,32,01,20221230,0
AA30,060003,04,77502270,0002,ST,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 3.25,"      ","   ","    ",75,"PNL16MUV75SHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796493,32,01,20221230,0
AA30,060003,04,77502272,0001,RX,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 2.00,- 1.00," 35","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796482,31,04,20221230,0
AA30,060003,04,77502272,0002,RX,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 2.75,- 0.75,150,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796482,31,04,20221230,0
AA30,060003,04,77502273,0001,ST,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 2.00,- 1.00," 35","    ",75,"PNL16MUV75SHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796482,32,01,20221230,0
AA30,060003,04,77502273,0002,ST,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 2.75,- 0.75,150,"    ",75,"PNL16MUV75SHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796482,32,01,20221230,0
AA30,060003,04,77502275,0001,RX,P,351107600075,00001670,"NU-LUX U    ","        ","HARD-VP ",M,- 1.25,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796477,31,04,20221230,0
AA30,060003,04,77502275,0002,RX,P,351107600075,00001670,"NU-LUX U    ","        ","HARD-VP ",M,- 0.50,- 0.50,175,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796477,31,04,20221230,0
AA30,060003,04,77502276,0001,ST,P,351107600075,00001670,"NU-LUX U    ","        ","HARD-VP ",M,- 1.25,"      ","   ","    ",75,"PNL150UV75DHVV__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796477,32,01,20221230,0
AA30,060003,04,77502276,0002,ST,P,351107600075,00001670,"NU-LUX U    ","        ","HARD-VP ",M,- 0.50,- 0.50,175,"    ",75,"PNL150UV75DHVV__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796477,32,01,20221230,0
AA30,060000,01,77502278,0001,ST,P,359107100075,00001693,"NL155       ","        ","HARD-UG ",M,+ 1.00,+ 0.75,175,"    ",70,"PNL155__70MHVC__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796526,32,00,20221230,0
AA30,060000,01,77502278,0002,ST,P,359107100075,00001693,"NL155       ","        ","HARD-UG ",M,- 2.75,- 1.50," 10","    ",75,"PNL155__75MHVC__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796526,32,00,20221230,0
AA30,060003,04,77502281,0001,ST,P,351107600075,00001670,"NU-LUX U    ","        ","HARD-VP ",M,- 1.25,"      ","   ","    ",75,"PNL150UV75DHVV__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",2,00000000,33,00,20221230,0
