CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060000,01,77502081,0002,RX,L,358586500070,00001693,"BSFA1167    ","        ","HARD-UG ",M,- 4.00,- 0.50," 81",1.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794027,32,01,20221230,0
AA30,060000,01,77502085,0001,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,+ 0.50,+ 0.75,180,"    ",70,"PNL155__70MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796452,32,00,20221230,0
AA30,060000,01,77502085,0002,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,- 0.50,- 0.75,180,"    ",75,"PNL155__75MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796452,32,00,20221230,0
AA30,060000,01,77502091,0001,RX,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,+ 0.50,+ 0.75,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796452,31,04,20221230,0
AA30,060000,01,77502091,0002,RX,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,- 0.50,- 0.75,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796452,31,04,20221230,0
AA30,060000,01,77502092,0001,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,+ 0.50,+ 0.75,180,"    ",70,"PNL155__70MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796452,32,01,20221230,0
AA30,060000,01,77502092,0002,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,- 0.50,- 0.75,180,"    ",75,"PNL155__75MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796452,32,01,20221230,0
AA30,060000,01,77502104,0001,RX,P,360100106870,00001693,"HL16S5G     ","        ","HARD-UG ",M,+ 2.50,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,30086189,31,04,20221230,0
AA30,060000,01,77502104,0002,RX,P,360100106870,00001693,"HL16S5G     ","        ","HARD-UG ",M,+ 3.00,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,30086189,31,04,20221230,0
AA30,060000,01,77502105,0001,RX,P,360100106870,00001693,"HL16S5G     ","        ","HARD-UG ",M,+ 2.50,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,30086189,32,01,20221230,0
AA30,060000,01,77502105,0002,RX,P,360100106870,00001693,"HL16S5G     ","        ","HARD-UG ",M,+ 3.00,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,30086189,32,01,20221230,0
AA30,060000,01,80646540,0001,RX,P,360108106875,00001661,"AS60S5G     ","        ","RCC     ",M,- 1.75,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795109,21,01,20221230,0
AA30,060000,01,80646540,0002,RX,P,360108106875,00001661,"AS60S5G     ","        ","RCC     ",M,- 2.00,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795109,21,01,20221230,0
AA30,060000,01,77501998,0001,ST,P,360107600075,00001670,"NL16        ","        ","HARD-VP ",M,- 5.50,- 1.50," 10","    ",75,"PNL160UV75SHVV__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796421,32,00,20221230,0
AA30,060000,01,77502024,0001,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,- 4.00,- 0.75,163,"    ",75,"PNL155__75MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796431,32,00,20221230,0
AA30,060000,01,77502024,0002,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,- 4.00,"      ","   ","    ",75,"PNL155__75MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796431,32,00,20221230,0
AA30,060000,01,77502039,0001,RX,R,360586506870,00001638,"BSFA1460S5G ","        ","HARD-BA ",M,- 2.75,"      ","   ",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794024,31,04,20221230,0
AA30,060000,01,77502039,0002,RX,L,360586506870,00001638,"BSFA1460S5G ","        ","HARD-BA ",M,- 2.75,"      ","   ",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794024,31,04,20221230,0
AA30,060000,01,77502040,0001,RX,R,360586506870,00001638,"BSFA1460S5G ","        ","HARD-BA ",M,- 2.75,"      ","   ",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794024,32,01,20221230,0
AA30,060000,01,77502040,0002,RX,L,360586506870,00001638,"BSFA1460S5G ","        ","HARD-BA ",M,- 2.75,"      ","   ",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794024,32,01,20221230,0
AA30,060000,01,77502042,0001,RX,R,360586506870,00001638,"BSFA1160S5G ","        ","HARD-BA ",M,+ 2.00,"      ","   ",2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794449,31,04,20221230,0
AA30,060000,01,77502042,0002,RX,L,360586506870,00001638,"BSFA1160S5G ","        ","HARD-BA ",M,+ 2.00,"      ","   ",2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794449,31,04,20221230,0
AA30,060000,01,77502043,0001,RX,R,360586506870,00001638,"BSFA1160S5G ","        ","HARD-BA ",M,+ 2.00,"      ","   ",2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794449,32,01,20221230,0
AA30,060000,01,77502043,0002,RX,L,360586506870,00001638,"BSFA1160S5G ","        ","HARD-BA ",M,+ 2.00,"      ","   ",2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794449,32,01,20221230,0
AA30,060000,01,77502045,0001,RX,R,358576800070,00001693,"PHLB167     ","        ","HARD-UG ",M,- 7.75,- 0.75," 75",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794524,31,04,20221230,0
AA30,060000,01,77502045,0002,RX,L,358576800070,00001693,"PHLB167     ","        ","HARD-UG ",M,- 7.75,"      ","   ",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794524,31,04,20221230,0
AA30,060000,01,77502046,0001,RX,R,358576800070,00001693,"PHLB167     ","        ","HARD-UG ",M,- 7.75,- 0.75," 75",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794524,32,01,20221230,0
AA30,060000,01,77502046,0002,RX,L,358576800070,00001693,"PHLB167     ","        ","HARD-UG ",M,- 7.75,"      ","   ",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794524,32,01,20221230,0
AA30,060000,01,77502048,0001,RX,R,360578500070,00001638,"LSBS60      ","        ","HARD-BA ",M,- 5.75,- 0.75,150,1.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794411,31,04,20221230,0
AA30,060000,01,77502048,0002,RX,L,360578500070,00001638,"LSBS60      ","        ","HARD-BA ",M,- 5.75,"      ","   ",1.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794411,31,04,20221230,0
AA30,060000,01,77502049,0001,RX,R,360578500070,00001638,"LSBS60      ","        ","HARD-BA ",M,- 5.75,- 0.75,150,1.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794411,32,01,20221230,0
AA30,060000,01,77502049,0002,RX,L,360578500070,00001638,"LSBS60      ","        ","HARD-BA ",M,- 5.75,"      ","   ",1.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794411,32,01,20221230,0
AA30,060000,01,77502051,0001,RX,R,360587506870,00001693,"BSCD16S5G   ","        ","HARD-UG ",M,- 3.50,"      ","   ",2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794465,31,04,20221230,0
AA30,060000,01,77502051,0002,RX,L,360587506870,00001693,"BSCD16S5G   ","        ","HARD-UG ",M,- 5.00,- 0.50,160,2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794465,31,04,20221230,0
AA30,060000,01,77502052,0001,RX,R,360587506870,00001693,"BSCD16S5G   ","        ","HARD-UG ",M,- 3.50,"      ","   ",2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794465,32,01,20221230,0
AA30,060000,01,77502052,0002,RX,L,360587506870,00001693,"BSCD16S5G   ","        ","HARD-UG ",M,- 5.00,- 0.50,160,2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794465,32,01,20221230,0
AA30,060000,01,77502054,0001,RX,R,358578506870,00001638,"LSBS67S5G   ","        ","HARD-BA ",M,- 3.75,- 0.50,100,1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793214,31,04,20221230,0
AA30,060000,01,77502054,0002,RX,L,358578506870,00001638,"LSBS67S5G   ","        ","HARD-BA ",M,- 4.25,"      ","   ",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793214,31,04,20221230,0
AA30,060000,01,77502055,0001,RX,R,358578506870,00001638,"LSBS67S5G   ","        ","HARD-BA ",M,- 3.75,- 0.50,100,1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793214,32,01,20221230,0
AA30,060000,01,77502055,0002,RX,L,358578506870,00001638,"LSBS67S5G   ","        ","HARD-BA ",M,- 4.25,"      ","   ",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793214,32,01,20221230,0
AA30,060000,01,77502057,0001,RX,P,358107606875,00001638,"NL167S5G    ","        ","HARD-BA ",M,- 8.75,- 1.25," 60","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793217,31,04,20221230,0
AA30,060000,01,77502057,0002,RX,P,358107606875,00001638,"NL167S5G    ","        ","HARD-BA ",M,- 8.75,- 1.50,150,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793217,31,04,20221230,0
AA30,060000,01,77502058,0001,RX,P,358107606875,00001638,"NL167S5G    ","        ","HARD-BA ",M,- 8.75,- 1.25," 60","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793217,32,01,20221230,0
