CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060000,01,77501520,0001,ST,P,360107600075,00001686,"PN160A      ","        ","BC      ",M,- 3.25,- 0.50,"   ","    ",75,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",2,00000000,13,00,20221230,0
AA30,060000,01,77501520,0002,ST,P,360107600075,00001686,"PN160A      ","        ","BC      ",M,- 3.00,- 0.75,"   ","    ",75,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",2,00000000,13,00,20221230,0
AA30,060000,01,77501520,0003,ST,P,360107600075,00001686,"PN160A      ","        ","BC      ",M,- 5.00,- 0.50,"   ","    ",75,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",2,00000000,13,00,20221230,0
AA30,060000,01,77501520,0004,ST,P,360107600075,00001686,"PN160A      ","        ","BC      ",M,- 5.50,- 0.50,"   ","    ",75,"PNL155____SHHM__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",2,00000000,13,00,20221230,0
AA30,060000,01,77501538,0001,RX,R,360587500070,00001693,"BSCD16      ","        ","HARD-UG ",M,- 4.75,- 1.00," 70",2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795357,32,00,20221230,0
AA30,060000,01,77501540,0001,RX,R,358579306870,00001638,"MSPS167S5G  ","        ","HARD-BA ",M,-10.00,- 0.75," 85",2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794306,31,04,20221230,0
AA30,060000,01,77501540,0002,RX,L,358579306870,00001638,"MSPS167S5G  ","        ","HARD-BA ",M,-10.00,- 0.50,105,2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794306,31,04,20221230,0
AA30,060000,01,77501541,0001,RX,R,358579306870,00001638,"MSPS167S5G  ","        ","HARD-BA ",M,-10.00,- 0.75," 85",2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794306,32,01,20221230,0
AA30,060000,01,77501541,0002,RX,L,358579306870,00001638,"MSPS167S5G  ","        ","HARD-BA ",M,-10.00,- 0.50,105,2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794306,32,01,20221230,0
AA30,060000,01,77501543,0001,RX,R,360578506870,00001638,"LSBS60S5G   ","        ","HARD-BA ",M,+ 1.75,+ 0.25," 30",2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794756,31,04,20221230,0
AA30,060000,01,77501543,0002,RX,L,360578506870,00001638,"LSBS60S5G   ","        ","HARD-BA ",M,+ 1.00,"      ","   ",2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794756,31,04,20221230,0
AA30,060000,01,77501544,0001,RX,R,360578506870,00001638,"LSBS60S5G   ","        ","HARD-BA ",M,+ 1.75,+ 0.25," 30",2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794756,32,01,20221230,0
AA30,060000,01,77501544,0002,RX,L,360578506870,00001638,"LSBS60S5G   ","        ","HARD-BA ",M,+ 1.00,"      ","   ",2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794756,32,01,20221230,0
AA30,060000,01,77501546,0001,RX,P,361107700075,00001693,"NE174       ","        ","HARD-UG ",M,-10.75,- 1.25,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795268,31,04,20221230,0
AA30,060000,01,77501546,0002,RX,P,361107700075,00001693,"NE174       ","        ","HARD-UG ",M,-12.00,- 2.50,170,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795268,31,04,20221230,0
AA30,060000,01,77501547,0001,RX,P,361107700075,00001693,"NE174       ","        ","HARD-UG ",M,-10.75,- 1.25,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795268,32,01,20221230,0
AA30,060000,01,77501547,0002,RX,P,361107700075,00001693,"NE174       ","        ","HARD-UG ",M,-12.00,- 2.50,170,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795268,32,01,20221230,0
AA30,060000,01,77501550,0001,RX,P,358107600075,50001638,"NL167       ",GRN   90,"HARD-BA ",M,- 2.25,- 1.50," 85","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793832,31,04,20221230,0
AA30,060000,01,77501550,0002,RX,P,358107600075,50001638,"NL167       ",GRN   90,"HARD-BA ",M,- 2.25,- 1.00," 95","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793832,31,04,20221230,0
AA30,060000,01,77501551,0001,RX,P,358107600075,50001638,"NL167       ",GRN   90,"HARD-BA ",M,- 2.25,- 1.50," 85","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793832,32,01,20221230,0
AA30,060000,01,77501551,0002,RX,P,358107600075,50001638,"NL167       ",GRN   90,"HARD-BA ",M,- 2.25,- 1.00," 95","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793832,32,01,20221230,0
AA30,060000,01,77501553,0001,RX,P,360107600075,00001672,"NL16        ","        ",HARD-SFT,M,- 0.50,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795383,31,04,20221230,0
AA30,060000,01,77501553,0002,RX,P,360107600075,00001672,"NL16        ","        ",HARD-SFT,M,- 0.50,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795383,31,04,20221230,0
