CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060000,01,77501683,0001,ST,P,358107100075,00001686,"SL167AS     ","        ",HARD-PBC,M,- 7.50,- 1.00,115,"    ",75,"PNL167UV75SHVBSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796097,31,00,20221230,0
AA30,060000,01,77501683,0002,ST,P,358107100075,00001686,"SL167AS     ","        ",HARD-PBC,M,- 6.00,- 1.00," 90","    ",75,"PNL167UV75SHVBSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796097,31,00,20221230,0
AA30,060000,01,77501685,0001,ST,P,358107100075,00001686,"SL167AS     ","        ",HARD-PBC,M,- 6.75,- 1.00,115,"    ",75,"PNL167UV75SHVBSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796287,32,00,20221230,0
AA30,060000,01,77501685,0002,ST,P,358107100075,00001686,"SL167AS     ","        ",HARD-PBC,M,- 5.25,- 1.00," 90","    ",75,"PNL167UV75SHVBSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796287,32,00,20221230,0
AA30,060000,01,77501688,0001,RX,P,358107600075,00001638,"NL167       ","        ","HARD-BA ",M,- 9.00,- 1.00," 05","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796225,31,04,20221230,0
AA30,060000,01,77501688,0002,RX,P,358107600075,00001638,"NL167       ","        ","HARD-BA ",M,- 9.00,- 0.50," 10","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796225,31,04,20221230,0
AA30,060000,01,77501689,0001,ST,P,358107600075,00001638,"NL167       ","        ","HARD-BA ",M,- 9.00,- 1.00," 05","    ",70,"PNL167UV70DHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796225,32,01,20221230,0
AA30,060000,01,77501689,0002,ST,P,358107600075,00001638,"NL167       ","        ","HARD-BA ",M,- 9.00,- 0.50," 10","    ",70,"PNL167UV70DHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796225,32,01,20221230,0
AA30,060002,03,77501691,0001,RX,P,359107100075,00001686,"SL155AS     ","        ",HARD-PBC,M,"  0.00",- 1.25," 77","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796228,31,04,20221230,0
AA30,060002,03,77501691,0002,RX,P,359107100075,00001686,"SL155AS     ","        ",HARD-PBC,M,"  0.00",- 0.75," 96","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796228,31,04,20221230,0
AA30,060002,03,77501692,0001,ST,P,359107100075,00001686,"SL155AS     ","        ",HARD-PBC,M,"  0.00",- 1.25," 77","    ",75,"PNL155__75SHVBAA    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796228,32,01,20221230,0
AA30,060002,03,77501692,0002,ST,P,359107100075,00001686,"SL155AS     ","        ",HARD-PBC,M,"  0.00",- 0.75," 96","    ",75,"PNL155__75SHVBAA    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796228,32,01,20221230,0
