CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060003,04,77500719,0042,ST,P,359107100075,00001686,"SL155AS     ","        ",HARD-PBC,M,- 5.00,- 0.25,"   ","    ",75,"PNL155__75SHVBAA    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500719,0043,ST,P,359107100075,00001686,"SL155AS     ","        ",HARD-PBC,M,- 5.50,- 0.50,"   ","    ",75,"PNL155__75SHVBAA    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500719,0044,ST,P,359107100075,00001686,"SL155AS     ","        ",HARD-PBC,M,- 4.25,- 1.75,"   ","    ",75,"PNL155__75SHVBAA    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500719,0045,ST,P,359107100075,00001686,"SL155AS     ","        ",HARD-PBC,M,- 4.25,- 2.00,"   ","    ",75,"PNL155__75SHVBAA    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500719,0046,ST,P,359107100075,00001686,"SL155AS     ","        ",HARD-PBC,M,- 4.75,- 2.00,"   ","    ",75,"PNL155__75SHVBAA    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500719,0047,ST,P,359107100075,00001686,"SL155AS     ","        ",HARD-PBC,M,- 5.00,- 2.00,"   ","    ",75,"PNL155__75SHVBAA    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500721,0001,ST,P,359107100075,00001670,"SL155AS     ","        ","HARD-VP ",M,- 1.50,"      ","   ","    ",75,"PNL155__75SHVVSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
AA30,060003,04,77500721,0002,ST,P,359107100075,00001670,"SL155AS     ","        ","HARD-VP ",M,- 3.75,"      ","   ","    ",75,"PNL155__75SHVVSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",2,00000000,14,00,20221230,0
AA30,060003,04,77500721,0003,ST,P,359107100075,00001670,"SL155AS     ","        ","HARD-VP ",M,- 4.00,"      ","   ","    ",75,"PNL155__75SHVVSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",2,00000000,14,00,20221230,0
AA30,060003,04,77500721,0004,ST,P,359107100075,00001670,"SL155AS     ","        ","HARD-VP ",M,- 4.50,"      ","   ","    ",75,"PNL155__75SHVVSY    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,00000000,14,00,20221230,0
