CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060000,01,80646370,0002,RX,L,358587506870,00001638,"BSCD167S5G  ","        ","HARD-BA ",M,- 8.75,- 2.00,165,2.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795170,21,01,20221230,0
AA30,060000,01,80646371,0001,RX,R,360587506870,00001638,"BSCD16S5G   ","        ","HARD-BA ",M,- 2.00,- 1.25," 75",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795131,21,01,20221230,0
AA30,060000,01,80646371,0002,RX,L,360587506870,00001638,"BSCD16S5G   ","        ","HARD-BA ",M,- 3.25,- 1.25," 95",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795131,21,01,20221230,0
AA30,060000,01,80646372,0001,RX,R,358576806870,00001638,"PHLB167S5G  ","        ","HARD-BA ",M,- 7.25,"      ","   ",2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794365,21,01,20221230,0
AA30,060000,01,80646372,0002,RX,L,358576806870,00001638,"PHLB167S5G  ","        ","HARD-BA ",M,- 6.50,- 0.75,125,2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794365,21,01,20221230,0
AA30,060000,01,80646290,0001,RX,R,360586506870,00001638,"BSFA1160S5G ","        ","HARD-BA ",M,- 4.25,- 0.75," 20",2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,30086391,21,01,20221230,0
AA30,060000,01,80646290,0002,RX,L,360586506870,00001638,"BSFA1160S5G ","        ","HARD-BA ",M,- 3.75,- 0.50,130,2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,30086391,21,01,20221230,0
AA30,060000,01,80646291,0001,RX,P,358107600075,00001638,"NL167       ","        ","HARD-BA ",M,- 9.75,- 2.75,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795143,21,01,20221230,0
AA30,060000,01,80646291,0002,RX,P,358107600075,00001638,"NL167       ","        ","HARD-BA ",M,-11.25,- 2.25,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795143,21,01,20221230,0
AA30,060000,01,80646292,0001,RX,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 5.75,- 2.00,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793943,21,01,20221230,0
AA30,060000,01,80646292,0002,RX,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 6.00,- 3.25,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793943,21,01,20221230,0
AA30,060000,01,80646293,0001,RX,R,360576806870,00001638,"PHLB16S5G   ","        ","HARD-BA ",M,"  0.00",+ 1.00," 90",3.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793932,21,01,20221230,0
AA30,060000,01,80646293,0002,RX,L,360576806870,00001638,"PHLB16S5G   ","        ","HARD-BA ",M,+ 0.50,- 1.00," 90",3.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793932,21,01,20221230,0
