CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060000,01,80646430,0001,RX,R,360587506870,00001672,"BSCD16S5G   ","        ",HARD-SFT,M,- 4.25,- 0.50,180,1.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795149,21,01,20221230,0
AA30,060000,01,80646430,0002,RX,L,360587506870,00001672,"BSCD16S5G   ","        ",HARD-SFT,M,- 3.75,- 1.25,180,1.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795149,21,01,20221230,0
AA30,060000,01,80646431,0001,RX,P,360107606975,00001638,"NL16S5B     ","        ","HARD-BA ",M,- 3.50,- 0.50," 10","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795028,21,01,20221230,0
AA30,060000,01,80646431,0002,RX,P,360107606975,00001638,"NL16S5B     ","        ","HARD-BA ",M,- 3.50,- 1.00,170,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795028,21,01,20221230,0
AA30,060000,01,80646432,0001,RX,P,358107600075,00001693,"NL167       ","        ","HARD-UG ",M,- 6.75,- 3.00,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793965,21,01,20221230,0
AA30,060000,01,80646432,0002,RX,P,358107600075,00001693,"NL167       ","        ","HARD-UG ",M,- 5.50,- 3.00,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793965,21,01,20221230,0
AA30,060000,01,80646433,0001,RX,R,360586500070,00001638,"BSFA1460    ","        ","HARD-BA ",M,- 7.00,- 1.00," 40",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794952,21,01,20221230,0
AA30,060000,01,80646433,0002,RX,L,360586500070,00001638,"BSFA1460    ","        ","HARD-BA ",M,- 7.25,- 0.75,125,1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794952,21,01,20221230,0
AA30,060000,01,80646434,0001,RX,P,351107606970,00001638,"NL15S5B     ","        ","HARD-BA ",M,- 0.50,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794659,21,01,20221230,0
AA30,060000,01,80646434,0002,RX,P,351107606970,00001638,"NL15S5B     ","        ","HARD-BA ",M,- 0.50,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794659,21,01,20221230,0
AA30,060000,01,80646435,0001,RX,R,351583900070,00001638,"DLS50D      ","        ","HARD-BA ",M,- 1.00,- 1.00,165,1.75,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794683,21,01,20221230,0
AA30,060000,01,80646435,0002,RX,L,351583900070,00001638,"DLS50D      ","        ","HARD-BA ",M,- 0.75,- 1.25,180,1.75,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794683,21,01,20221230,0
AA30,060000,01,80646436,0001,RX,P,358107600075,00001638,"NL167       ","        ","HARD-BA ",M,+ 2.75,+ 0.75," 90","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794945,21,01,20221230,0
AA30,060000,01,80646436,0002,RX,P,358107600075,00001638,"NL167       ","        ","HARD-BA ",M,+ 4.50,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794945,21,01,20221230,0
AA30,060000,01,80646437,0001,RX,R,360586500070,00001693,"BSFA1160    ","        ","HARD-UG ",M,- 5.25,- 1.50," 10",2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794333,21,01,20221230,0
AA30,060000,01,80646437,0002,RX,L,360586500070,00001693,"BSFA1160    ","        ","HARD-UG ",M,- 3.25,- 1.25,180,2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794333,21,01,20221230,0
AA30,060000,01,80646438,0001,RX,R,360584906870,00001672,"BAMPS60S5G  ","        ",HARD-SFT,M,- 5.75,- 1.00,170,2.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794672,21,01,20221230,0
AA30,060000,01,80646438,0002,RX,L,360584906870,00001672,"BAMPS60S5G  ","        ",HARD-SFT,M,- 3.00,- 1.25,170,2.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13794672,21,01,20221230,0
AA30,060000,01,80646439,0001,RX,R,360584900070,00001672,"BAMPL60     ","        ",HARD-SFT,M,- 5.00,- 3.50,180,2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,30086401,21,01,20221230,0
