CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060000,01,77501811,0001,RX,P,360107600075,00001693,"NL16        ","        ","HARD-UG ",M,+ 4.00,+ 1.00,170,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13792360,31,04,20221230,0
AA30,060000,01,77501812,0001,RX,P,360107600075,00001693,"NL16        ","        ","HARD-UG ",M,+ 4.00,+ 1.00,170,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13792360,32,01,20221230,0
AA30,060000,01,77501814,0001,RX,P,360107600075,00001693,"NL16        ","        ","HARD-UG ",M,+ 3.50,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13792359,31,04,20221230,0
AA30,060000,01,77501815,0001,RX,P,360107600075,00001693,"NL16        ","        ","HARD-UG ",M,+ 3.50,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13792359,32,01,20221230,0
AA30,060000,01,77501818,0001,RX,R,360584900070,00001638,"BAMPL60     ","        ","HARD-BA ",M,- 9.00,- 0.50,180,1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13792770,31,04,20221230,0
AA30,060000,01,77501818,0002,RX,L,360584900070,00001638,"BAMPL60     ","        ","HARD-BA ",M,- 9.00,- 1.00," 10",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13792770,31,04,20221230,0
AA30,060000,01,77501819,0001,RX,R,360584900070,00001638,"BAMPL60     ","        ","HARD-BA ",M,- 9.00,- 0.50,180,1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13792770,32,01,20221230,0
AA30,060000,01,77501819,0002,RX,L,360584900070,00001638,"BAMPL60     ","        ","HARD-BA ",M,- 9.00,- 1.00," 10",1.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13792770,32,01,20221230,0
AA30,060000,01,77501823,0001,RX,P,358107600075,00001670,"NL167       ","        ","HARD-VP ",M,- 8.00,- 0.75,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795812,31,04,20221230,0
AA30,060000,01,77501823,0002,RX,P,358107600075,00001670,"NL167       ","        ","HARD-VP ",M,- 8.50,"      ","   ","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795812,31,04,20221230,0
