CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060000,01,77501887,0001,RX,P,355101100075,00001669,"DIMS159     ","        ","HARD-MC ",M,- 1.50,- 0.75,180,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795251,32,00,20221230,0
AA30,060000,01,77501887,0002,RX,P,355101100075,00001669,"DIMS159     ","        ","HARD-MC ",M,- 1.00,- 1.00," 10","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795251,32,00,20221230,0
AA30,060000,01,77501888,0001,RX,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 3.25,- 3.50," 05","    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793705,32,00,20221230,0
AA30,060000,01,77501888,0002,RX,P,360107600075,00001638,"NL16        ","        ","HARD-BA ",M,- 1.25,- 3.25,176,"    ","  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793705,32,00,20221230,0
AA30,060000,01,77501889,0001,RX,R,360584900070,00001638,"BAMPS60     ","        ","HARD-BA ",M,- 5.50,- 0.75," 25",2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793706,32,00,20221230,0
AA30,060000,01,77501889,0002,RX,L,360584900070,00001638,"BAMPS60     ","        ","HARD-BA ",M,- 4.75,- 1.25," 10",2.00,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793706,32,00,20221230,0
AA30,060000,01,77501890,0001,RX,R,351584900070,00001672,"BAMPS50     ","        ",HARD-SFT,M,"  0.00","      ","   ",2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793980,32,00,20221230,0
AA30,060000,01,77501890,0002,RX,L,351584900070,00001672,"BAMPS50     ","        ",HARD-SFT,M,- 1.75,- 1.25," 80",2.50,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793980,32,00,20221230,0
AA30,060000,01,77501891,0001,RX,R,351587500070,00001672,"BSCD15      ","        ",HARD-SFT,M,+ 0.50,+ 1.75," 90",2.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795483,32,00,20221230,0
AA30,060000,01,77501891,0002,RX,L,351587500070,00001672,"BSCD15      ","        ",HARD-SFT,M,+ 0.50,+ 0.75," 90",2.25,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13795483,32,00,20221230,0
AA30,060000,01,77501892,0001,ST,P,359107106875,00001670,"NL155S5G    ","        ","HARD-VP ",M,- 3.75,- 1.50,170,"    ",75,"PNL155__75GEVV__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796378,32,00,20221230,0
AA30,060000,01,77501892,0002,ST,P,359107106875,00001670,"NL155S5G    ","        ","HARD-VP ",M,- 4.00,- 2.00,170,"    ",75,"PNL155__75GEVV__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796378,32,00,20221230,0
