CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,LINE_NUMBER,ITEM_TYPE,F_LENS_RL_TYPE,F_LENS_LENS_CODE,F_LENS_COLOR_COAT_CODE,F_LENS_NAME,F_LENS_COLOR,F_LENS_COAT,F_LENS_CYLINDER_TYPE,F_LENS_SPHERE,F_LENS_CYLINDER,F_LENS_AXIS,F_LENS_ADDITION,F_LENS_DIAMETER,F_LENS_UNIVERSAL_PRODUCT_NAME,S_LENS_RL_TYPE,S_LENS_CODE,S_LENS_COLOR_COAT_CODE,S_LENS_NAME,S_LENS_COLOR,S_LENS_MAKER,S_LENS_NOMINAL_BASE_CURVE,S_LENS_DIAMETER,S_LENS_THICKNESS_TYPE,S_LENS_ADDITION,S_LENS_UNIVERSAL_PRODUCT_NAME,FRAME_CODE,FRAME_MAKER,FRAME_NAME,FRAME_EYE_SIZE,FRAME_DBL,FRAME_COLOR,FRAME_PARTS_TYPE,INSTRUMENT_CODE,INSTRUMENT_NAME,INSTRUMENT_PARTS_NUMBER,STOCK_IO_QUANTITY,RECEIVE_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME
AA30,060000,01,77502121,0001,RX,R,360583900070,00001638,"DLS60A      ","        ","HARD-BA ",M,- 4.50,- 1.25," 05",0.75,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793904,31,04,20221230,0
AA30,060000,01,77502121,0002,RX,L,360583900070,00001638,"DLS60A      ","        ","HARD-BA ",M,- 4.00,- 1.25,170,0.75,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793904,31,04,20221230,0
AA30,060000,01,77502111,0001,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,+ 2.50,"      ","   ","    ",70,"PNL155__70MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796198,33,01,20221230,0
AA30,060000,01,77502112,0001,ST,P,359107100075,00001638,"NL155       ","        ","HARD-BA ",M,+ 2.50,"      ","   ","    ",70,"PNL155__70MHBA__    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13796198,32,02,20221230,0
AA30,060000,01,77502122,0001,RX,R,360583900070,00001638,"DLS60A      ","        ","HARD-BA ",M,- 4.50,- 1.25," 05",0.75,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793904,32,01,20221230,0
AA30,060000,01,77502122,0002,RX,L,360583900070,00001638,"DLS60A      ","        ","HARD-BA ",M,- 4.00,- 1.25,170,0.75,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793904,32,01,20221230,0
AA30,060000,01,77502125,0001,RX,R,358583900070,00001638,"DLS67A      ","        ","HARD-BA ",M,- 6.00,- 0.75,175,0.75,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793783,31,04,20221230,0
AA30,060000,01,77502125,0002,RX,L,358583900070,00001638,"DLS67A      ","        ","HARD-BA ",M,- 6.25,- 1.25,180,0.75,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793783,31,04,20221230,0
AA30,060000,01,77502126,0001,RX,R,358583900070,00001638,"DLS67A      ","        ","HARD-BA ",M,- 6.00,- 0.75,175,0.75,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793783,32,01,20221230,0
AA30,060000,01,77502126,0002,RX,L,358583900070,00001638,"DLS67A      ","        ","HARD-BA ",M,- 6.25,- 1.25,180,0.75,"  ","                    "," ","            ","        ","            ","        ","    ","     ","  ","  ","    ","                    ","            ","    ","          ","  ","  ","    ","  ","            ","            ","    ",1,13793783,32,01,20221230,0
