Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,77501887,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795251,246328,00
Yes,AA30,060000,01,77501888,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793705,235514,00
Yes,AA30,060000,01,77501889,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793706,235525,00
Yes,AA30,060000,01,77501890,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793980,236798,00
Yes,AA30,060000,01,77501891,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795483,247670,00
Yes,AA30,060000,01,77501892,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796378,253800,00
Yes,AA30,060000,01,77501897,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796379,253811,00
Yes,AA30,060000,01,77501906,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796358,253662,00
Yes,AA30,060000,01,77501907,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796358,253662,00
Yes,AA30,060000,01,77501912,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796378,253800,00
Yes,AA30,060000,01,77501913,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796378,253800,00
Yes,AA30,060000,01,77501915,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796379,253811,00
Yes,AA30,060000,01,77501916,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796379,253811,00
Yes,AA30,060000,01,77501922,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13795357,246940,00
Yes,AA30,060000,01,77501923,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13795357,246940,00
Yes,AA30,060000,04,77501926,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796387,724578,00
Yes,AA30,060000,04,77501950,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796394,724589,00
Yes,AA30,060000,03,77501957,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796399,380130,00
Yes,AA30,060002,03,77501963,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796349,380129,00
Yes,AA30,060002,03,77501964,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796349,380129,00
Yes,AA30,060002,03,77501966,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796399,380130,00
Yes,AA30,060002,03,77501967,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796399,380130,00
Yes,AA30,060003,04,77501970,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796387,724578,00
Yes,AA30,060003,04,77501971,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796387,724578,00
Yes,AA30,060003,04,77501973,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796394,724589,00
Yes,AA30,060003,04,77501974,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796394,724589,00
Yes,AA30,060000,01,77501976,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13796403,254144,00
Yes,AA30,060000,01,77501984,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796410,254202,00
Yes,AA30,060000,01,77501985,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796411,254213,00
Yes,AA30,060000,01,77501987,31,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796410,254202,00
Yes,AA30,060000,03,77501996,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13796419,380141,00
Yes,AA30,060000,01,80646535,21,01,20221230,0,"13795251  ","13795251        ",AA30,050002,2,"  ",13795251,246328,00
Yes,AA30,060000,01,80646536,21,01,20221230,0,"13793705  ","13793705        ",AA30,050002,2,"  ",13793705,235514,00
Yes,AA30,060000,01,80646537,21,01,20221230,0,"13793706  ","13793706        ",AA30,050002,2,"  ",13793706,235525,00
Yes,AA30,060000,01,80646538,21,01,20221230,0,"13793980  ","13793980        ",AA30,050002,2,"  ",13793980,236798,00
Yes,AA30,060000,01,80646539,21,01,20221230,0,"13795483  ","13795483        ",AA30,050002,2,"  ",13795483,247670,00
