Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,77501998,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13796421,254268,00
Yes,AA30,060000,01,77502024,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796431,254337,00
Yes,AA30,060000,01,77502039,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794024,237000,00
Yes,AA30,060000,01,77502040,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794024,237000,00
Yes,AA30,060000,01,77502042,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794449,240490,00
Yes,AA30,060000,01,77502043,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794449,240490,00
Yes,AA30,060000,01,77502045,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794524,241073,00
Yes,AA30,060000,01,77502046,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794524,241073,00
Yes,AA30,060000,01,77502048,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794411,240219,00
Yes,AA30,060000,01,77502049,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794411,240219,00
Yes,AA30,060000,01,77502051,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794465,240660,00
Yes,AA30,060000,01,77502052,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794465,240660,00
Yes,AA30,060000,01,77502054,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793214,230612,00
Yes,AA30,060000,01,77502055,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793214,230612,00
Yes,AA30,060000,01,77502057,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793217,230645,00
Yes,AA30,060000,01,77502058,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793217,230645,00
Yes,AA30,060000,01,77502060,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793222,230678,00
Yes,AA30,060000,01,77502061,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793222,230678,00
Yes,AA30,060000,01,77502063,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792814,227378,00
Yes,AA30,060000,01,77502064,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792814,227378,00
Yes,AA30,060000,01,77502080,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794027,237032,00
Yes,AA30,060000,01,77502081,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794027,237032,00
Yes,AA30,060000,01,77502085,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796452,254519,00
Yes,AA30,060000,01,77502091,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796452,254519,00
Yes,AA30,060000,01,77502092,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796452,254519,00
Yes,AA30,060000,01,77502104,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",30086189,224960,00
Yes,AA30,060000,01,77502105,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",30086189,224960,00
Yes,AA30,060000,01,80646540,21,01,20221230,0,"13795109  ","13795109        ",AA30,000000,2,"  ",13795109,245347,00
