Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,77500734,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796097,252182,00
Yes,AA30,060000,04,77500757,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796120,724502,00
Yes,AA30,060000,04,77500758,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796121,724512,00
Yes,AA30,060000,01,77500770,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796133,252284,00
Yes,AA30,060000,01,77500803,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796150,252386,00
Yes,AA30,060000,01,77500804,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796151,252397,00
Yes,AA30,060000,01,77500806,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796153,252411,00
Yes,AA30,060000,01,77500808,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793100,229293,00
Yes,AA30,060000,01,77500809,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793100,229293,00
Yes,AA30,060000,01,77500812,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793225,230703,00
Yes,AA30,060000,01,77500813,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793225,230703,00
Yes,AA30,060000,01,77500815,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793082,229169,00
Yes,AA30,060000,01,77500816,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793082,229169,00
Yes,AA30,060000,01,77500818,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792818,227390,00
Yes,AA30,060000,01,77500819,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792818,227390,00
Yes,AA30,060000,01,77500821,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13791914,220925,00
Yes,AA30,060000,01,77500822,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13791914,220925,00
Yes,AA30,060000,01,77500824,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13791915,220936,00
Yes,AA30,060000,01,77500825,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13791915,220936,00
Yes,AA30,060000,01,77500827,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793224,230690,00
Yes,AA30,060000,01,77500828,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793224,230690,00
Yes,AA30,060000,01,77500830,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13792299,223785,00
Yes,AA30,060000,01,77500831,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13792299,223785,00
