Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,77501776,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794487,240853,00
Yes,AA30,060000,01,77501777,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794487,240853,00
Yes,AA30,060000,01,77501779,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794058,237316,00
Yes,AA30,060000,01,77501780,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794058,237316,00
Yes,AA30,060000,01,77501783,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13796326,253414,00
Yes,AA30,060000,01,77501805,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792648,226230,00
Yes,AA30,060000,01,77501806,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792648,226230,00
Yes,AA30,060000,01,77501808,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793206,230554,00
Yes,AA30,060000,01,77501809,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793206,230554,00
Yes,AA30,060000,01,77501811,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13792360,224212,00
Yes,AA30,060000,01,77501812,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13792360,224212,00
Yes,AA30,060000,01,77501814,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13792359,224201,00
Yes,AA30,060000,01,77501815,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13792359,224201,00
Yes,AA30,060000,01,77501818,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792770,227072,00
Yes,AA30,060000,01,77501819,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792770,227072,00
Yes,AA30,060000,01,77501823,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795812,249982,00
Yes,AA30,060000,01,77501824,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795812,249982,00
Yes,AA30,060000,01,77501827,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793202,230452,00
Yes,AA30,060000,01,77501828,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793202,230452,00
Yes,AA30,060000,01,77501830,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793215,230634,00
Yes,AA30,060000,01,77501831,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793215,230634,00
Yes,AA30,060000,03,77501837,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796349,380129,00
Yes,AA30,060000,01,77501846,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796358,253662,00
Yes,AA30,060000,01,77501847,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793159,230215,00
Yes,AA30,060000,01,77501848,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793159,230215,00
Yes,AA30,060000,01,77501850,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793218,230656,00
Yes,AA30,060000,01,77501851,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793218,230656,00
Yes,AA30,060000,01,77501853,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13791939,221098,00
Yes,AA30,060000,01,77501854,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13791939,221098,00
Yes,AA30,060000,01,77501856,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792696,226863,00
Yes,AA30,060000,01,77501857,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792696,226863,00
Yes,AA30,060003,04,77501879,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796266,724556,00
Yes,AA30,060003,04,77501880,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796266,724556,00
Yes,AA30,060003,04,77501881,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796311,724567,00
Yes,AA30,060003,04,77501882,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796311,724567,00
Yes,AA30,060000,01,77501772,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794490,240886,00
Yes,AA30,060000,01,77501773,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794490,240886,00
