Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,80646274,21,01,20221230,0,"60035374  ","60035374        ",AA30,050002,2,"  ",60035374,239843,00
Yes,AA30,060000,01,80646275,21,01,20221230,0,"60035458  ","60035458        ",AA30,050002,2,"  ",60035458,246714,00
Yes,AA30,060000,01,80646276,21,01,20221230,0,"60035248  ","60035248        ",AA30,050002,2,"  ",60035248,232968,00
Yes,AA30,060000,01,80646277,21,01,20221230,0,"60035448  ","60035448        ",AA30,050002,2,"  ",60035448,244967,00
Yes,AA30,060000,01,80646278,21,01,20221230,0,"60035457  ","60035457        ",AA30,050002,2,"  ",60035457,246441,00
Yes,AA30,060000,01,80646279,21,01,20221230,0,"60035456  ","60035456        ",AA30,050002,2,"  ",60035456,246430,00
Yes,AA30,060000,01,80646280,21,01,20221230,0,"60035388  ","60035388        ",AA30,050002,2,"  ",60035388,241867,00
Yes,AA30,060000,01,80646281,21,01,20221230,0,"13795020  ","13795020        ",AA30,050002,2,"  ",13795020,245110,00
Yes,AA30,060000,01,80646282,21,01,20221230,0,"13795018  ","13795018        ",AA30,050002,2,"  ",13795018,245096,00
Yes,AA30,060000,01,80646283,21,01,20221230,0,"13795146  ","13795146        ",AA30,050002,2,"  ",13795146,245595,00
Yes,AA30,060000,01,80646284,21,01,20221230,0,"13795023  ","13795023        ",AA30,050002,2,"  ",13795023,245121,00
Yes,AA30,060000,01,80646285,21,01,20221230,0,"13795013  ","13795013        ",AA30,050002,2,"  ",13795013,245052,00
Yes,AA30,060000,01,80646286,21,01,20221230,0,"13794919  ","13794919        ",AA30,050002,2,"  ",13794919,243884,00
Yes,AA30,060000,01,80646287,21,01,20221230,0,"13794692  ","13794692        ",AA30,050002,2,"  ",13794692,242382,00
Yes,AA30,060000,01,80646288,21,01,20221230,0,"13794212  ","13794212        ",AA30,050002,2,"  ",13794212,238341,00
Yes,AA30,060000,01,80646289,21,01,20221230,0,"13794907  ","13794907        ",AA30,050002,2,"  ",13794907,243793,00
Yes,AA30,060000,01,80646290,21,01,20221230,0,"30086391  ","30086391        ",AA30,050002,2,"  ",30086391,244242,00
Yes,AA30,060000,01,80646291,21,01,20221230,0,"13795143  ","13795143        ",AA30,050002,2,"  ",13795143,245584,00
Yes,AA30,060000,01,80646292,21,01,20221230,0,"13793943  ","13793943        ",AA30,050002,2,"  ",13793943,236561,00
Yes,AA30,060000,01,80646293,21,01,20221230,0,"13793932  ","13793932        ",AA30,050002,2,"  ",13793932,236459,00
Yes,AA30,060000,01,80646294,21,01,20221230,0,"13795347  ","13795347        ",AA30,050002,2,"  ",13795347,246871,00
Yes,AA30,060000,01,80646295,21,01,20221230,0,"13793928  ","13793928        ",AA30,050002,2,"  ",13793928,236415,00
Yes,AA30,060000,01,80646296,21,01,20221230,0,"13795246  ","13795246        ",AA30,050002,2,"  ",13795246,246281,00
Yes,AA30,060000,01,80646297,21,01,20221230,0,"13794697  ","13794697        ",AA30,050002,2,"  ",13794697,242430,00
Yes,AA30,060000,01,80646298,21,01,20221230,0,"13794994  ","13794994        ",AA30,050002,1,"  ",13794994,244344,00
Yes,AA30,060000,01,80646299,21,01,20221230,0,"13795308  ","13795308        ",AA30,050002,2,"  ",13795308,246634,00
Yes,AA30,060000,01,80646300,21,01,20221230,0,"13794254  ","13794254        ",AA30,050002,2,"  ",13794254,238658,00
Yes,AA30,060000,01,80646301,21,01,20221230,0,"30086393  ","30086393        ",AA30,050002,2,"  ",30086393,244322,00
Yes,AA30,060000,01,80646302,21,01,20221230,0,"13794960  ","13794960        ",AA30,050002,2,"  ",13794960,244220,00
Yes,AA30,060000,01,80646303,21,01,20221230,0,"13794495  ","13794495        ",AA30,050002,2,"  ",13794495,240933,00
Yes,AA30,060000,01,80646304,21,01,20221230,0,"13795032  ","13795032        ",AA30,050002,2,"  ",13795032,245154,00
Yes,AA30,060000,01,80646305,21,01,20221230,0,"13794295  ","13794295        ",AA30,050002,2,"  ",13794295,239016,00
Yes,AA30,060000,01,80646306,21,01,20221230,0,"13795012  ","13795012        ",AA30,050002,2,"  ",13795012,245041,00
Yes,AA30,060000,01,80646307,21,01,20221230,0,"13795302  ","13795302        ",AA30,050002,2,"  ",13795302,246623,00
