Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,77501107,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794453,240536,00
Yes,AA30,060000,01,77501108,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794476,240762,00
Yes,AA30,060000,01,77501109,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794866,243487,00
Yes,AA30,060000,01,77501110,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794787,242892,00
Yes,AA30,060000,01,77501113,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794864,243465,00
Yes,AA30,060000,01,77501114,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794708,242510,00
Yes,AA30,060000,01,77501115,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794619,241776,00
Yes,AA30,060000,01,77501116,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13793777,235809,00
Yes,AA30,060000,01,77501127,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794695,242418,00
Yes,AA30,060000,01,77501128,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794676,242270,00
Yes,AA30,060000,01,77501129,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794553,241324,00
Yes,AA30,060000,01,77501130,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794688,242360,00
Yes,AA30,060000,01,77501131,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794421,240285,00
Yes,AA30,060000,01,77501132,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794788,242906,00
Yes,AA30,060000,01,77501133,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794554,241335,00
Yes,AA30,060000,01,77501135,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794585,241517,00
Yes,AA30,060000,01,77501146,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794723,242586,00
Yes,AA30,060000,01,77501147,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794623,241889,00
Yes,AA30,060000,01,77501148,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794586,241528,00
Yes,AA30,060000,01,77501149,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794255,238669,00
Yes,AA30,060000,01,77501150,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794303,239082,00
Yes,AA30,060000,01,77501157,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795406,247320,00
Yes,AA30,060000,01,77501158,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795444,247502,00
Yes,AA30,060000,01,77501160,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795370,247116,00
Yes,AA30,060000,04,77501164,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795797,724443,00
Yes,AA30,060000,01,77501165,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794472,240730,00
Yes,AA30,060000,01,77501167,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795164,245697,00
Yes,AA30,060000,01,77501168,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",30086471,252637,00
Yes,AA30,060000,01,77501169,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796193,252648,00
Yes,AA30,060000,01,77501170,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794235,238501,00
Yes,AA30,060000,01,77501171,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794235,238501,00
Yes,AA30,060000,01,77501173,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792892,227957,00
Yes,AA30,060000,01,77501174,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792892,227957,00
Yes,AA30,060000,01,77501176,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793747,235627,00
Yes,AA30,060000,01,77501177,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793747,235627,00
Yes,AA30,060000,01,77501179,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13792288,223694,00
Yes,AA30,060000,01,77501180,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13792288,223694,00
Yes,AA30,060000,01,77501182,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13792289,223708,00
Yes,AA30,060000,01,77501183,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13792289,223708,00
Yes,AA30,060000,01,77501185,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792695,226852,00
Yes,AA30,060000,01,77501186,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792695,226852,00
Yes,AA30,060000,01,77501189,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794297,239038,00
Yes,AA30,060000,01,77501190,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794297,239038,00
Yes,AA30,060000,01,77501193,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792287,223683,00
Yes,AA30,060000,01,77501194,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792287,223683,00
Yes,AA30,060000,01,77501200,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796198,252670,00
Yes,AA30,060000,01,77501201,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796199,252681,00
Yes,AA30,060000,01,77501206,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796204,252728,00
Yes,AA30,060000,01,77501208,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796206,252740,00
Yes,AA30,060000,01,77501211,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796209,252772,00
Yes,AA30,060000,01,77501212,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13796210,252783,00
Yes,AA30,060000,03,77501219,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796217,380107,00
Yes,AA30,060000,01,77501227,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794539,241200,00
Yes,AA30,060000,01,77501228,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794539,241200,00
Yes,AA30,060000,01,77501230,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794649,242101,00
Yes,AA30,060000,01,77501231,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794649,242101,00
Yes,AA30,060000,01,77501233,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793670,235343,00
Yes,AA30,060000,01,77501234,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793670,235343,00
Yes,AA30,060000,01,77501236,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794422,240296,00
Yes,AA30,060000,01,77501237,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794422,240296,00
Yes,AA30,060000,01,77501239,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794651,242123,00
Yes,AA30,060000,01,77501240,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794651,242123,00
Yes,AA30,060000,01,77501242,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793839,236062,00
Yes,AA30,060000,01,77501243,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793839,236062,00
Yes,AA30,060000,01,77501245,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795428,247433,00
Yes,AA30,060000,01,77501246,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795428,247433,00
Yes,AA30,060000,01,77501248,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796057,251485,00
Yes,AA30,060000,01,77501249,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796057,251485,00
Yes,AA30,060000,01,77501251,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792969,228428,00
Yes,AA30,060000,01,77501252,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792969,228428,00
Yes,AA30,060000,01,77501254,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792306,223854,00
Yes,AA30,060000,01,77501255,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792306,223854,00
Yes,AA30,060000,01,77501257,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13792290,223719,00
Yes,AA30,060000,01,77501258,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13792290,223719,00
Yes,AA30,060000,01,77501260,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796225,252820,00
Yes,AA30,060000,01,77501261,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13792291,223720,00
Yes,AA30,060000,01,77501262,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13792291,223720,00
Yes,AA30,060000,01,77501265,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795353,246929,00
Yes,AA30,060000,01,77501266,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795531,248040,00
Yes,AA30,060000,01,77501268,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795231,246180,00
Yes,AA30,060000,03,77501274,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796228,380118,00
Yes,AA30,060000,04,77501295,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796240,724545,00
Yes,AA30,060000,01,77501345,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795521,247965,00
Yes,AA30,060000,01,77501346,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795470,247590,00
Yes,AA30,060000,01,77501347,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795237,246237,00
Yes,AA30,060000,01,77501348,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795349,246893,00
Yes,AA30,060000,01,77501349,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13794936,244005,00
Yes,AA30,060000,01,77501350,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794955,244184,00
Yes,AA30,060000,01,77501351,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794933,243975,00
Yes,AA30,060000,01,77501352,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794937,244016,00
Yes,AA30,060000,01,77501353,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794972,244300,00
Yes,AA30,060000,01,77501354,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795451,247546,00
Yes,AA30,060000,01,77501355,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795408,247331,00
Yes,AA30,060000,01,77501356,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13795348,246882,00
Yes,AA30,060000,01,77501357,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794316,239195,00
