Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,77501683,31,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796097,252182,00
Yes,AA30,060000,01,77501685,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796287,253174,00
Yes,AA30,060000,01,77501688,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796225,252820,00
Yes,AA30,060000,01,77501689,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796225,252820,00
Yes,AA30,060002,03,77501691,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796228,380118,00
Yes,AA30,060002,03,77501692,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796228,380118,00
Yes,AA30,060002,03,77501694,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796217,380107,00
Yes,AA30,060002,03,77501695,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796217,380107,00
Yes,AA30,060000,01,77501705,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796297,253210,00
Yes,AA30,060000,04,77501728,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796311,724567,00
Yes,AA30,060000,01,77501730,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796313,253323,00
Yes,AA30,060000,01,77501735,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792448,224802,00
Yes,AA30,060000,01,77501736,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792448,224802,00
Yes,AA30,060000,01,77501742,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794914,243851,00
Yes,AA30,060000,01,77501743,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13794942,244060,00
Yes,AA30,060000,01,77501745,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794914,243851,00
Yes,AA30,060000,01,77501746,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794914,243851,00
Yes,AA30,060000,01,77501748,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794942,244060,00
Yes,AA30,060000,01,77501749,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794942,244060,00
Yes,AA30,060000,01,77501751,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13796317,253345,00
Yes,AA30,060000,01,77501753,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13789572,201341,00
Yes,AA30,060000,01,77501754,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13789572,201341,00
Yes,AA30,060000,01,77501756,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792214,222895,00
Yes,AA30,060000,01,77501757,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792214,222895,00
Yes,AA30,060000,01,77501759,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792564,225612,00
Yes,AA30,060000,01,77501760,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792564,225612,00
Yes,AA30,060000,01,77501762,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",30086471,252637,00
Yes,AA30,060000,01,77501763,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",30086471,252637,00
Yes,AA30,060000,01,80646530,21,01,20221230,0,"13793854  ","13793854        ",AA30,050002,2,"  ",13793854,236084,00
Yes,AA30,060000,01,80646531,21,01,20221230,0,"13794658  ","13794658        ",AA30,050002,2,"  ",13794658,242178,00
Yes,AA30,060000,01,80646532,21,01,20221230,0,"13795211  ","13795211        ",AA30,050002,2,"  ",13795211,246011,00
Yes,AA30,060000,01,80646533,21,01,20221230,0,"13794914  ","13794914        ",AA30,050002,2,"  ",13794914,243851,00
Yes,AA30,060000,01,80646534,21,01,20221230,0,"13794942  ","13794942        ",AA30,050002,2,"  ",13794942,244060,00
