Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,77502111,33,01,20221230,0,"13796198  ","                ","    ","      ",1,"  ",13796198,252670,00
Yes,AA30,060000,01,77502112,32,02,20221230,0,"          ","                ","    ","      ",1,"  ",13796198,252670,00
Yes,AA30,060000,01,77502121,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793904,236222,00
Yes,AA30,060000,01,77502122,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793904,236222,00
Yes,AA30,060000,01,77502125,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793783,235831,00
Yes,AA30,060000,01,77502126,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793783,235831,00
Yes,AA30,060000,01,77502128,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794290,238975,00
Yes,AA30,060000,01,77502129,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794290,238975,00
Yes,AA30,060000,01,77502131,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794278,238862,00
Yes,AA30,060000,01,77502132,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794278,238862,00
Yes,AA30,060000,01,77502134,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794436,240401,00
Yes,AA30,060000,01,77502135,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794436,240401,00
Yes,AA30,060000,01,77502138,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794429,240365,00
Yes,AA30,060000,01,77502139,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794429,240365,00
Yes,AA30,060000,01,77502141,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796150,252386,00
Yes,AA30,060000,01,77502142,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796150,252386,00
Yes,AA30,060000,01,77502144,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794484,240820,00
Yes,AA30,060000,01,77502145,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794484,240820,00
Yes,AA30,060000,04,77502150,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796477,724590,00
Yes,AA30,060000,01,77502151,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793213,230601,00
Yes,AA30,060000,01,77502152,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793213,230601,00
Yes,AA30,060000,01,77502154,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13792763,227006,00
Yes,AA30,060000,01,77502155,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13792763,227006,00
Yes,AA30,060000,01,77502157,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793573,234861,00
Yes,AA30,060000,01,77502158,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793573,234861,00
Yes,AA30,060000,01,77502160,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793115,229442,00
Yes,AA30,060000,01,77502161,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793115,229442,00
Yes,AA30,060000,01,77502163,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13793274,231138,00
Yes,AA30,060000,01,77502164,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13793274,231138,00
Yes,AA30,060000,01,77502167,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13793275,231149,00
Yes,AA30,060000,01,77502168,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13793275,231149,00
Yes,AA30,060000,01,77502171,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13796480,254698,00
Yes,AA30,060000,04,77502172,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13796481,724614,00
Yes,AA30,060000,04,77502174,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796482,724625,00
Yes,AA30,060000,01,77502175,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13796480,254698,00
Yes,AA30,060000,01,77502176,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13796480,254698,00
Yes,AA30,060003,04,77502179,31,00,20221230,0,"          ","                ","    ","      ",1,"  ",13796481,724614,00
Yes,AA30,060000,01,77502189,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796297,253210,00
Yes,AA30,060000,01,77502190,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796297,253210,00
Yes,AA30,060000,01,77502192,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796198,252670,00
Yes,AA30,060000,01,77502193,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796198,252670,00
Yes,AA30,060000,01,77502195,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796199,252681,00
Yes,AA30,060000,01,77502196,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796199,252681,00
Yes,AA30,060000,01,77502199,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796151,252397,00
Yes,AA30,060000,01,77502200,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796151,252397,00
Yes,AA30,060000,01,77502202,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795975,251011,00
Yes,AA30,060000,01,77502203,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795975,251011,00
Yes,AA30,060000,01,77502205,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796209,252772,00
Yes,AA30,060000,01,77502206,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796209,252772,00
Yes,AA30,060000,04,77502209,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796493,724636,00
Yes,AA30,060000,01,77502218,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795901,250438,00
Yes,AA30,060000,01,77502219,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795901,250438,00
Yes,AA30,060000,01,77502221,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796193,252648,00
Yes,AA30,060000,01,77502222,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796193,252648,00
Yes,AA30,060000,01,77502224,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13796153,252411,00
Yes,AA30,060000,01,77502225,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13796153,252411,00
Yes,AA30,060000,01,77502227,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795974,251000,00
Yes,AA30,060000,01,77502228,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795974,251000,00
Yes,AA30,060000,01,77502230,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13793019,228745,00
Yes,AA30,060000,01,77502231,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13793019,228745,00
Yes,AA30,060000,01,77502233,31,04,20221230,0,"          ","                ","    ","      ",1,"  ",13793020,228756,00
Yes,AA30,060000,01,77502234,32,01,20221230,0,"          ","                ","    ","      ",1,"  ",13793020,228756,00
Yes,AA30,060000,01,77502236,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795231,246180,00
Yes,AA30,060000,01,77502237,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795231,246180,00
Yes,AA30,060000,01,77502248,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796510,254880,00
Yes,AA30,060000,03,77502263,32,00,20221230,0,"          ","                ","    ","      ",2,"  ",13796525,380152,00
