Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060003,04,77500699,14,00,20221230,0,"          ","                ","    ","      ",30,64,00000000,000000,01
Yes,AA30,060003,04,77500701,14,00,20221230,0,"          ","                ","    ","      ",8,64,00000000,000000,01
Yes,AA30,060003,04,77500703,14,00,20221230,0,"          ","                ","    ","      ",15,64,00000000,000000,01
Yes,AA30,060003,04,77500705,14,00,20221230,0,"          ","                ","    ","      ",17,64,00000000,000000,01
Yes,AA30,060003,04,77500707,14,00,20221230,0,"          ","                ","    ","      ",6,64,00000000,000000,01
Yes,AA30,060003,04,77500709,14,00,20221230,0,"          ","                ","    ","      ",18,64,00000000,000000,01
Yes,AA30,060003,04,77500711,14,00,20221230,0,"          ","                ","    ","      ",39,64,00000000,000000,01
Yes,AA30,060003,04,77500713,14,00,20221230,0,"          ","                ","    ","      ",10,64,00000000,000000,01
Yes,AA30,060003,04,77500715,14,00,20221230,0,"          ","                ","    ","      ",4,64,00000000,000000,01
Yes,AA30,060003,04,77500717,14,00,20221230,0,"          ","                ","    ","      ",1,64,00000000,000000,01
Yes,AA30,060003,04,77500719,14,00,20221230,0,"          ","                ","    ","      ",47,64,00000000,000000,01
Yes,AA30,060003,04,77500721,14,00,20221230,0,"          ","                ","    ","      ",20,64,00000000,000000,01
Yes,AA30,060003,04,77500723,14,00,20221230,0,"          ","                ","    ","      ",7,64,00000000,000000,01
Yes,AA30,060003,04,77500725,14,00,20221230,0,"          ","                ","    ","      ",10,64,00000000,000000,01
Yes,AA30,060003,04,77500727,14,00,20221230,0,"          ","                ","    ","      ",8,64,00000000,000000,01
Yes,AA30,060003,04,77500729,14,00,20221230,0,"          ","                ","    ","      ",9,64,00000000,000000,01
