Completed,CMPNYCD,STOCK_HANDLING_CUSTOMER_NUMBER,STOCK_POINT,SLIP_NUMBER,TRANSACTION_CODE,SUB_TRANSACTION_CODE,TRANSACTION_DATE,TRANSACTION_TIME,PURCHASE_ORDER_NUMBER,SHIPMENT_NUMBER,SUPPLIER_COMPANY_CODE,SUPPLIER_NUMBER,TOTDETLINE,INTRANSIT_STOCK_POINT,RECEIVE_NUMBER,RX_ARRANGEMENT_NUMBER,ORGINAL_STOCK_POINT
Yes,AA30,060000,01,77501500,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794770,242746,00
Yes,AA30,060000,01,77501501,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794770,242746,00
Yes,AA30,060000,01,77501503,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13793860,236110,00
Yes,AA30,060000,01,77501504,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13793860,236110,00
Yes,AA30,060000,01,77501506,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794647,242087,00
Yes,AA30,060000,01,77501507,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794647,242087,00
Yes,AA30,060000,01,77501509,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13795267,246408,00
Yes,AA30,060000,01,77501510,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13795267,246408,00
Yes,AA30,060000,01,77501512,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794721,242575,00
Yes,AA30,060000,01,77501513,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794721,242575,00
Yes,AA30,060000,01,77501520,13,00,20221230,0,"          ","                ","    ","      ",4,64,00000000,"     0",01
Yes,AA30,060000,01,77501538,32,00,20221230,0,"          ","                ","    ","      ",1,"  ",13795357,246940,00
Yes,AA30,060000,01,77501540,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794306,239118,00
Yes,AA30,060000,01,77501541,32,01,20221230,0,"          ","                ","    ","      ",2,"  ",13794306,239118,00
Yes,AA30,060000,01,77501543,31,04,20221230,0,"          ","                ","    ","      ",2,"  ",13794756,242655,00
